player,inns,overs,mdns,runs,wkts,bbi,bbm,5,10,team,avg,cycle
BKG Mendis,2,8.0,0,55,0,-,-,0,0,SL,,2019-2021
Mominul Haque,1,4.0,0,18,0,-,-,0,0,BDESH,,2019-2021
Muhammad Musa,1,20.0,1,114,0,-,-,0,0,PAK,,2019-2021
Shan Masood,6,12.0,3,48,0,-,-,0,0,PAK,,2019-2021
Shakib Al Hasan,1,6.0,1,16,0,-,-,0,0,BDESH,,2019-2021
RG Sharma,6,8.1,2,22,0,-,-,0,0,INDIA,,2019-2021
DP Sibley,1,1.0,0,7,0,-,-,0,0,ENG,,2019-2021
SPD Smith,5,7.0,1,27,0,-,-,0,0,AUS,,2019-2021
GH Vihari,3,12.0,1,48,0,-,-,0,0,INDIA,,2019-2021
MS Wade,3,4.0,0,28,0,-,-,0,0,AUS,,2019-2021
Zafar Gohar,1,32.0,0,159,0,-,-,0,0,PAK,,2019-2021
