stat,stat_label,rank,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100s,50s,Ducks,4s,6s,Balls,Overs,Mdns,Wkts,BBI,Econ,4w,5w,Team,Opposition,Ground,Match Date,Match ID,10w
best_bowling_match,Best Bowling Figures (match),20,SCJ Broad,,,,,67,,,,,,,,,,,22.1,5.0,10.0,,3.02,,,England,v West Indies,Manchester,24 Jul 2020,2390.0,
best_economy_career,Best Economy Rate (career),1,S Mahmood (ENG),2022-2022,2,,,137,,22.83,,61,,,,,,366.0,61.0,17.0,6.0,2/21,2.24,0.0,0.0,,,,,,0.0
best_economy_career,Best Economy Rate (career),2,LA Dawson (ENG),2025-2025,1,,,140,,140.00,,372,,,,,,372.0,62.0,12.0,1.0,1/45,2.25,0.0,0.0,,,,,,0.0
best_economy_career,Best Economy Rate (career),3,VD Philander (SA),2019-2020,6,,,368,,36.80,,97.1,,,,,,971.0,161.5,49.0,10.0,4/16,2.27,1.0,0.0,,,,,,0.0
best_economy_career,Best Economy Rate (career),4,JA Duffy (NZ),2025-2025,3,,,355,,15.43,,40.3,,,,,,927.0,154.3,44.0,23.0,5/34,2.29,1.0,3.0,,,,,,0.0
best_economy_career,Best Economy Rate (career),5,C de Grandhomme (NZ),2019-2022,10,,,496,,38.15,,98.2,,,,,,1277.0,212.5,51.0,13.0,3/78,2.33,0.0,0.0,,,,,,0.0
best_economy_career,Best Economy Rate (career),6,JM Anderson (ENG),2019-2024,36,,,2763,,23.81,,59,,,,,,6851.0,1141.5,329.0,116.0,6/40,2.41,4.0,5.0,,,,,,0.0
best_economy_career,Best Economy Rate (career),7,Asif Afridi (PAK),2025-2025,1,,,94,,15.66,,38.5,,,,,,231.0,38.3,6.0,6.0,6/79,2.44,0.0,1.0,,,,,,0.0
best_economy_career,Best Economy Rate (career),8,KR Mayers (WI),2021-2023,16,,,594,,17.47,,42.8,,,,,,1458.0,243.0,73.0,34.0,5/18,2.44,0.0,1.0,,,,,,0.0
best_economy_career,Best Economy Rate (career),9,JD Unadkat (IND),2022-2023,3,,,130,,43.33,,106,,,,,,318.0,53.0,13.0,3.0,2/50,2.45,0.0,0.0,,,,,,0.0
best_economy_career,Best Economy Rate (career),10,AR Patel (IND),2021-2025,15,,,1121,,19.66,,46.6,,,,,,2660.0,443.2,98.0,57.0,6/38,2.52,2.0,5.0,,,,,,1.0
best_economy_career,Best Economy Rate (career),11,JA Raval (NZ),2019-2020,4,,,33,,33.00,,78,,,,,,78.0,13.0,1.0,1.0,1/33,2.53,0.0,0.0,,,,,,0.0
best_economy_career,Best Economy Rate (career),12,RAS Lakmal (SL),2019-2022,11,,,679,,28.29,,66.3,,,,,,1592.0,265.2,77.0,24.0,5/47,2.55,2.0,1.0,,,,,,0.0
best_economy_career,Best Economy Rate (career),13,DAJ Bracewell (NZ),2023-2023,1,,,77,,38.50,,90,,,,,,180.0,30.0,10.0,2.0,1/19,2.56,0.0,0.0,,,,,,0.0
best_economy_career,Best Economy Rate (career),14,JO Holder (WI),2019-2024,29,,,2204,,37.35,,85.8,,,,,,5064.0,844.0,214.0,59.0,6/42,2.61,1.0,3.0,,,,,,0.0
best_economy_career,Best Economy Rate (career),15,AC Agar (AUS),2023-2023,1,,,58,,-,,-,,,,,,132.0,22.0,5.0,0.0,-,2.63,0.0,0.0,,,,,,0.0
best_economy_career,Best Economy Rate (career),16,A Dananjaya (SL),2019-2019,1,,,164,,27.33,,62,,,,,,372.0,62.0,7.0,6.0,5/80,2.64,0.0,1.0,,,,,,0.0
best_economy_career,Best Economy Rate (career),17,JL Pattinson (AUS),2019-2020,4,,,302,,27.45,,62.1,,,,,,684.0,114.0,26.0,11.0,3/34,2.64,0.0,0.0,,,,,,0.0
best_economy_career,Best Economy Rate (career),18,Mohammad Abbas (PAK),2019-2026,19*,,,1699,,26.96,,60.8,,,,,,3831.0,638.3,166.0,63.0,6/54,2.66,2.0,4.0,,,,,,0.0
best_economy_career,Best Economy Rate (career),19,OE Robinson (ENG),2021-2026,21*,,,1699,,18.67,,42,,,,,,3825.0,637.3,171.0,91.0,5/39,2.66,4.0,5.0,,,,,,0.0
best_economy_career,Best Economy Rate (career),20,R de Swardt (SA),2024-2024,2,,,121,,40.33,,90,,,,,,270.0,45.0,10.0,3.0,2/61,2.68,0.0,0.0,,,,,,0.0
best_economy_innings,Best Economy Rate (innings),1,TG Southee,,,,,0,,,,,,,,,,,5.2,5.0,1.0,,0.0,,,New Zealand,v Bangladesh,Mirpur,6 Dec 2023,2517.0,
best_economy_innings,Best Economy Rate (innings),2,Faheem Ashraf,,,,,0,,,,,,,,,,,4.0,4.0,0.0,,0.0,,,Pakistan,v Bangladesh,Mirpur,4 Dec 2021,2439.0,
best_economy_innings,Best Economy Rate (innings),3,JM Anderson,,,,,1,,,,,,,,,,,4.0,3.0,0.0,,0.25,,,England,v Australia,Birmingham,1 Aug 2019,2353.0,
best_economy_innings,Best Economy Rate (innings),4,PWA Mulder,,,,,1,,,,,,,,,,,4.0,3.0,3.0,,0.25,,,South Africa,v West Indies,Gros Islet,18 Jun 2021,2426.0,
best_economy_innings,Best Economy Rate (innings),5,JNT Seales,,,,,5,,,,,,,,,,,15.5,10.0,4.0,,0.31,,,West Indies,v Bangladesh,Kingston,30 Nov 2024,2565.0,
best_economy_innings,Best Economy Rate (innings),6,JD Unadkat,,,,,1,,,,,,,,,,,3.0,2.0,0.0,,0.33,,,India,v West Indies,Port of Spain,20 Jul 2023,2513.0,
best_economy_innings,Best Economy Rate (innings),7,OE Robinson,,,,,2,,,,,,,,,,,5.0,3.0,1.0,,0.4,,,England,v Pakistan,Multan,9 Dec 2022,2480.0,
best_economy_innings,Best Economy Rate (innings),8,C de Grandhomme,,,,,3,,,,,,,,,,,5.0,3.0,1.0,,0.6,,,New Zealand,v India,Christchurch,29 Feb 2020,2387.0,
best_economy_innings,Best Economy Rate (innings),9,MR Marsh,,,,,2,,,,,,,,,,,3.0,2.0,0.0,,0.66,,,Australia,v India,Melbourne,26 Dec 2024,2571.0,
best_economy_innings,Best Economy Rate (innings),10,GF Linde,,,,,4,,,,,,,,,,,5.5,2.0,0.0,,0.68,,,South Africa,v Pakistan,Rawalpindi,4 Feb 2021,2408.0,
best_economy_innings,Best Economy Rate (innings),11,AY Patel,,,,,23,,,,,,,,,,,32.0,21.0,3.0,,0.71,,,New Zealand,v West Indies,Mount Maunganui,18 Dec 2025,2614.0,
best_economy_innings,Best Economy Rate (innings),12,JM Anderson,,,,,6,,,,,,,,,,,8.0,5.0,3.0,,0.75,,,England,v India,Leeds,25 Aug 2021,2432.0,
best_economy_innings,Best Economy Rate (innings),13,JO Holder,,,,,6,,,,,,,,,,,8.0,5.0,0.0,,0.75,,,West Indies,v England,St George's,24 Mar 2022,2459.0,
best_economy_innings,Best Economy Rate (innings),14,Shaheen Shah Afridi,,,,,3,,,,,,,,,,,4.0,3.0,1.0,,0.75,,,Pakistan,v Bangladesh,Mirpur,4 Dec 2021,2439.0,
best_economy_innings,Best Economy Rate (innings),15,C de Grandhomme,,,,,3,,,,,,,,,,,3.5,1.0,0.0,,0.78,,,New Zealand,v England,Lord's,2 Jun 2022,2464.0,
best_economy_innings,Best Economy Rate (innings),16,JM Anderson,,,,,8,,,,,,,,,,,10.0,6.0,1.0,,0.8,,,England,v Australia,Adelaide,16 Dec 2021,2441.0,
best_economy_innings,Best Economy Rate (innings),17,NM Lyon,,,,,8,,,,,,,,,,,10.0,7.0,1.0,,0.8,,,Australia,v West Indies,Adelaide,8 Dec 2022,2479.0,
best_economy_innings,Best Economy Rate (innings),18,TA Boult,,,,,4,,,,,,,,,,,5.0,3.0,0.0,,0.8,,,New Zealand,v Bangladesh,Mount Maunganui,1 Jan 2022,2444.0,
best_economy_innings,Best Economy Rate (innings),19,DJ Mitchell,,,,,4,,,,,,,,,,,5.0,1.0,0.0,,0.8,,,New Zealand,v West Indies,Wellington,10 Dec 2025,2612.0,
