match_id,year,match_date,team1,team2,toss,winner,margin,player_of_match,ground,match_no,team1_avg_batting_ranking,team2_avg_batting_ranking,team1_avg_bowling_ranking,team2_avg_bowling_ranking,team1_total_cts_participated,team1_total_cts_won,team2_total_cts_participated,team2_total_cts_won,team1_wl_ratio_over_team2
CT-2013-91,2013,2013-06-11,India,West Indies,"India, elected to field first",India,8 wickets,Ravindra Jadeja,The Oval,ODI # 3368,75.6,76.47,83.53,73.2,6,1,6,1,0.807
CT-2013-92,2013,2013-06-12,Australia,New Zealand,"Australia, elected to bat first",no result,-,,Birmingham,ODI # 3369,73.47,77.4,74.47,76.13,6,2,6,1,2.5
CT-2013-93,2013,2013-06-13,England,Sri Lanka,"Sri Lanka, elected to field first",Sri Lanka,7 wickets,Kumar Sangakkara,The Oval,ODI # 3370,70.6,78.8,67.33,74.6,6,0,6,1,1.083
CT-2013-94,2013,2013-06-14,South Africa,West Indies,"West Indies, elected to field first",tied,-,Colin Ingram,Cardiff,ODI # 3371,85.67,78.27,79.87,73.47,6,1,6,1,3.166
CT-2013-95,2013,2013-06-15,India,Pakistan,"India, elected to field first",India,8 wickets,Bhuvneshwar Kumar,Birmingham,ODI # 3372,73.53,81.67,82.27,76.8,6,1,6,0,0.69
CT-2013-96,2013,2013-06-16,England,New Zealand,"New Zealand, elected to field first",England,10 runs,Alastair Cook,Cardiff,ODI # 3373,69.87,77.27,72.6,75.27,6,0,6,1,0.842
CT-2013-97,2013,2013-06-17,Australia,Sri Lanka,"Australia, elected to field first",Sri Lanka,20 runs,Mahela Jayawardene,The Oval,ODI # 3374,72.53,78.8,74.4,74.2,6,2,6,1,1.833
CT-2013-98,2013,2013-06-19,England,South Africa,"England, elected to field first",England,7 wickets,James Tredwell,The Oval,ODI # 3375,70.2,85.33,72.27,79.8,6,0,5,1,0.84
CT-2013-99,2013,2013-06-20,India,Sri Lanka,"India, elected to field first",India,8 wickets,Ishant Sharma,Cardiff,ODI # 3376,71.8,78.07,81.27,74.2,6,1,6,1,1.442
CT-2013-100,2013,2013-06-23,England,India,"England, elected to field first",India,5 runs,Ravindra Jadeja,Birmingham,ODI # 3377,70.0,70.8,71.53,79.93,6,0,6,1,0.76
CT-2017-101,2017,2017-06-01,England,Bangladesh,"England, elected to field first",England,8 wickets,Joe Root,The Oval,ODI # 3875,65.2,72.53,69.47,76.27,7,0,4,0,3.75
