match_id,year,stage,match_number,match_date,ground,country,team1,team1_score,team1_wickets,team1_overs,team2,team2_score,team2_wickets,team2_overs,winner,win_margin,toss
ODIWC-1996-9,1996,Group A,9,1996-02-21,"Sinhalese Sports Club Ground, Colombo",Sri Lanka,Zimbabwe,228,6,50.0,Sri Lanka,229,4,37.0,Sri Lanka,6 wickets,Zimbabwe
ODIWC-1996-10,1996,Group A,10,1996-02-21,"Captain Roop Singh Stadium, Gwalior",India,West Indies,173,10,50.0,India,174,5,39.4,India,5 wickets,West Indies
ODIWC-1996-11,1996,Group B,11,1996-02-22,"Arbab Niaz Stadium, Peshawar",Pakistan,England,279,4,50.0,Netherlands,230,6,50.0,England,49 runs,England
ODIWC-1996-12,1996,Group A,12,1996-02-23,"Indira Priyadarshini Stadium, Visakhapatnam",India,Australia,304,7,50.0,Kenya,207,7,50.0,Australia,97 runs,Kenya
ODIWC-1996-13,1996,Group B,13,1996-02-24,"Jinnah Stadium, Gujranwala",Pakistan,United Arab Emirates,109,9,33.0,Pakistan,112,1,18.0,Pakistan,9 wickets,Pakistan
ODIWC-1996-14,1996,Group B,14,1996-02-25,Rawalpindi Cricket Stadium,Pakistan,South Africa,230,10,50.0,England,152,10,44.3,South Africa,78 runs,South Africa
ODIWC-1996-15,1996,Group A,15,1996-02-25,"R Premadasa Stadium, Colombo",Sri Lanka,Sri Lanka,0,0,0.0,West Indies,0,0,0.0,Sri Lanka,Walkover,
ODIWC-1996-16,1996,Group A,16,1996-02-27,"Moin-ul-Haq Stadium, Patna",India,Kenya,134,10,49.4,Zimbabwe,137,5,42.2,Zimbabwe,5 wickets,Zimbabwe
ODIWC-1996-17,1996,Group B,17,1996-02-26,"Gaddafi Stadium, Lahore",Pakistan,Netherlands,145,7,50.0,Pakistan,151,2,30.4,Pakistan,8 wickets,Netherlands
ODIWC-1996-18,1996,Group B,18,1996-02-27,"Iqbal Stadium, Faisalabad",Pakistan,New Zealand,276,8,47.0,United Arab Emirates,167,9,47.0,New Zealand,109 runs,United Arab Emirates
ODIWC-1996-19,1996,Group A,19,1996-02-27,"Wankhede Stadium, Mumbai",India,Australia,258,10,50.0,India,242,10,48.0,Australia,16 runs,Australia
ODIWC-1996-20,1996,Group A,20,1996-02-29,"Nehru Stadium, Poona",India,Kenya,166,10,49.3,West Indies,93,10,35.2,Kenya,73 runs,West Indies
ODIWC-1996-21,1996,Group B,21,1996-02-29,"National Stadium, Karachi",Pakistan,Pakistan,242,6,50.0,South Africa,243,5,44.2,South Africa,5 wickets,Pakistan
ODIWC-1996-22,1996,Group A,22,1996-03-01,"Vidarbha Cricket Association Ground, Nagpur",India,Zimbabwe,154,10,45.3,Australia,158,2,36.0,Australia,8 wickets,Zimbabwe
ODIWC-1996-23,1996,Group B,23,1996-03-01,"Gaddafi Stadium, Lahore",Pakistan,Netherlands,216,9,50.0,United Arab Emirates,220,3,44.2,United Arab Emirates,7 wickets,United Arab Emirates
ODIWC-1996-24,1996,Group A,24,1996-03-02,"Feroz Shah Kotla, Delhi",India,India,271,3,50.0,Sri Lanka,272,4,48.4,Sri Lanka,6 wickets,Sri Lanka
ODIWC-1996-25,1996,Group B,25,1996-03-03,"National Stadium, Karachi",Pakistan,England,249,9,50.0,Pakistan,250,3,47.4,Pakistan,7 wickets,England
