match_id,year,match_date,team1,team2,winner,team1_score,team2_score,margin,ground,host_country,match_no,team1_avg_batting_ranking,team2_avg_batting_ranking,team1_avg_bowling_ranking,team2_avg_bowling_ranking,team1_total_wcs_participated,team1_total_wcs_won,team2_total_wcs_participated,team2_total_wcs_won,team1_win_pct_over_team2
T20WC-2022-248,2022,2022-10-30,Netherlands,Pakistan,Pakistan,91-9 (20),95-4 (13.5),6 wickets,Perth,Australia,T20I # 1852,96.81,83.0,95.88,84.87,4,0,7,1,0.0
T20WC-2022-249,2022,2022-10-30,Bangladesh,Zimbabwe,Bangladesh,150-7 (20),147-8 (20),3 runs,Brisbane,Australia,T20I # 1851,98.33,97.87,84.6,91.87,7,0,4,0,63.15
T20WC-2022-250,2022,2022-10-30,India,South Africa,South Africa,133-9 (20),137-5 (19.4),5 wickets,Perth,Australia,T20I # 1853,78.27,66.21,71.33,69.71,7,1,7,0,56.52
T20WC-2022-251,2022,2022-10-31,Australia,Ireland,Australia,179-5 (20),137 (18.1),42 runs,Brisbane,Australia,T20I # 1855,75.2,94.13,73.0,98.0,7,1,6,0,100.0
T20WC-2022-252,2022,2022-11-01,Afghanistan,Sri Lanka,Sri Lanka,144-8 (20),148-4 (18.3),6 wickets,Brisbane,Australia,T20I # 1856,86.33,80.31,82.93,87.31,5,0,7,1,33.33
T20WC-2022-253,2022,2022-11-01,England,New Zealand,England,179-6 (20),159-6 (20),20 runs,Brisbane,Australia,T20I # 1858,81.13,69.87,72.8,69.4,7,1,7,0,54.54
T20WC-2022-254,2022,2022-11-02,Netherlands,Zimbabwe,Netherlands,120-5 (18),117 (19.2),5 wickets,Adelaide,Australia,T20I # 1859,97.19,97.8,97.31,91.33,4,0,5,0,25.0
T20WC-2022-255,2022,2022-11-02,Bangladesh,India,India,145-6 (16),184-6 (20),5 runs,Adelaide,Australia,T20I # 1860,98.2,78.53,84.07,70.73,7,0,7,1,9.0
T20WC-2022-256,2022,2022-11-03,Pakistan,South Africa,Pakistan,185-9 (20),108-9 (14),33 runs,Sydney,Australia,T20I # 1861,83.2,66.71,83.73,67.14,7,1,7,0,52.38
T20WC-2022-257,2022,2022-11-04,Australia,Afghanistan,Australia,168-8 (20),164-7 (20),4 runs,Adelaide,Australia,T20I # 1864,75.33,85.87,73.6,82.87,7,1,5,0,0.0
